,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
47,0.9642,0.0,0.473,0.527,CBS,"RT @PriceIsRight: We're thrilled to be back with all new, fun, and exciting shows!!  We hope to give you another award winning season! HERE…",2018-09-17 22:01:52+00:00,48
46,0.6486,0.0,0.791,0.209,CBS,RT @CBSThisMorning: Imagine receiving a digital friend request from someone claiming to be God. What would you do? The new @CBS drama @GodF…,2018-09-18 17:04:20+00:00,47
45,-0.0531,0.236,0.588,0.176,CBS,The @latelateshow and @JKCorden will never be good enough for @henrygolding's crazy rich mom.… https://t.co/xVmH5Iyfvs,2018-09-19 19:07:37+00:00,46
44,0.0,0.0,1.0,0.0,CBS,RT @JordanPeele: 📺🌀 https://t.co/CygbVi4JFC,2018-09-20 16:47:26+00:00,45
43,0.7896,0.0,0.788,0.212,CBS,RT @HawaiiFive0CBS: It’s the big Five-0! 🎉 🌊 #H50 premiered on this day in 1968! Celebrate 50 years of Hawaii Five-0 with every season of b…,2018-09-20 21:38:21+00:00,44
42,0.296,0.0,0.891,0.109,CBS,"Now that @bigbangtheory is entering its last season, Kaley Cuoco admits to @latelateshow she's over the show's noto… https://t.co/xvhlMWBhSX",2018-09-20 23:17:19+00:00,43
41,-0.1531,0.162,0.714,0.123,CBS,@colbertlateshow @IainLoveTheatre @IainLoveTheatre made a compelling argument. We'll get back to you. 😉,2018-09-21 17:46:26+00:00,42
40,0.296,0.098,0.758,0.144,CBS,"How does $100,000 sound? Because someone is going to win all that tonight on the @TKOCBS Battle Royale finale at 9p… https://t.co/JEuUZ2QlQh",2018-09-21 19:18:00+00:00,41
39,0.0,0.0,1.0,0.0,CBS,Kick off your Sunday with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺… https://t.co/kbo7N27mY9,2018-09-23 14:00:00+00:00,40
38,-0.2263,0.087,0.913,0.0,CBS,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in ATL, Indy, NOLA, Kansas City, NYC, Philly, Prov… https://t.co/fejqoxtvSY",2018-09-23 23:24:03+00:00,39
37,0.0,0.0,1.0,0.0,CBS,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",2018-09-24 18:56:15+00:00,38
36,0.0,0.0,1.0,0.0,CBS,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",2018-09-25 18:05:31+00:00,37
35,0.0,0.0,1.0,0.0,CBS,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",2018-09-25 18:34:26+00:00,36
34,0.7901,0.0,0.709,0.291,CBS,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,2018-09-25 19:45:33+00:00,35
33,0.0,0.0,1.0,0.0,CBS,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,2018-09-25 19:54:26+00:00,34
32,-0.2263,0.091,0.909,0.0,CBS,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",2018-09-25 20:31:45+00:00,33
31,-0.2714,0.138,0.764,0.098,CBS,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",2018-09-25 21:10:56+00:00,32
30,0.0,0.0,1.0,0.0,CBS,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",2018-09-26 17:25:43+00:00,31
