,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
31,0.34,0.0,0.906,0.094,The New York Times,"“I’m not directing them. They are just giving me this thing. And sometimes you can look at an actor and see, Oh, th… https://t.co/qtsBoKmsRy",2018-10-04 20:45:07+00:00,32
30,0.6801,0.0,0.763,0.237,The New York Times,RT @gabrieldance: one thing that was particularly interesting about Fred and Donald’s relationship: Fred always let Donald take credit for…,2018-10-04 20:50:04+00:00,31
29,0.4939,0.122,0.63,0.248,The New York Times,"Rev. Dr. William J. Barber II, a pastor and 2018 MacArthur ‘genius’ grant winner, is resurrecting the Poor People’s… https://t.co/jIblrVKzQ9",2018-10-04 21:07:56+00:00,30
28,0.2866,0.065,0.826,0.109,The New York Times,RT @JohnBranchNYT: So sorry to learn of the passing of longtime @NYTSports columnist Dave Anderson. He truly might be the only person in th…,2018-10-04 21:13:05+00:00,29
27,0.0,0.0,1.0,0.0,The New York Times,"Dave Anderson, a sports columnist for The New York Times for more than 3 decades and the recipient of a Pulitzer Pr… https://t.co/sQjsuTmNM2",2018-10-04 21:15:03+00:00,28
26,0.4019,0.0,0.895,0.105,The New York Times,"RT @MikeIsaac: For the past week, Facebook employees have been in open internal revolt over a FB VP appearing in support of Judge Brett Kav…",2018-10-04 21:21:52+00:00,27
25,-0.3612,0.122,0.878,0.0,The New York Times,A Facebook executive's presence at last week's Kavanaugh hearing set off turmoil at the company. Its effort to stem… https://t.co/Rajk8Q8KWi,2018-10-04 21:31:04+00:00,26
24,0.0772,0.0,0.939,0.061,The New York Times,"“I want to apologize,” the Facebook executive Joel Kaplan wrote last Friday in a note to staff. “I recognize this m… https://t.co/JVd8V3Elkh",2018-10-04 21:41:00+00:00,25
23,-0.5574,0.126,0.874,0.0,The New York Times,"RT @NYTArchives: The singer Janis Joplin died on this day in 1970. The Times' obituary for her said she ""sang with more than her voice. Her…",2018-10-04 21:53:02+00:00,24
22,0.0,0.0,1.0,0.0,The New York Times,"RT @maggieNYT: MAGA, Minnesota edition https://t.co/0BOuCY2FoL",2018-10-04 21:55:37+00:00,23
21,0.4215,0.101,0.685,0.214,The New York Times,"The women are mobilizing in conservative states and districts, hoping to pull off upsets like Doug Jones’s Senate v… https://t.co/v77msLedx4",2018-10-04 22:01:08+00:00,22
20,-0.481,0.13,0.87,0.0,The New York Times,"""We're trying to stir up the spirits of the folks who’ve been turned off this damn process."" — LaTosha Brown, in Gr… https://t.co/zWuALjm8yM",2018-10-04 22:05:33+00:00,21
19,0.0,0.0,1.0,0.0,The New York Times,"Kewyata Dice works as a nursing assistant in Americus, Georgia. She sat out the 2014 and 2016 elections, but has pr… https://t.co/xDTl9e7Jbx",2018-10-04 22:10:34+00:00,20
18,-0.4939,0.144,0.856,0.0,The New York Times,"Kayla and Kiana Blaine in Tallahassee, Florida, are fueled by a protectiveness and fear about the fate of black men… https://t.co/pimtyL5RDb",2018-10-04 22:15:40+00:00,19
17,-0.4767,0.14,0.86,0.0,The New York Times,"At age 11, Lorena Barnum Sabbs tried to integrate a theater. She was arrested and locked in the Leesburg Stockade.… https://t.co/OJqVcLRIsc",2018-10-04 22:20:51+00:00,18
16,0.7351,0.0,0.721,0.279,The New York Times,"This Greek-style broiled shrimp dish is ready in just 10 minutes, making it the perfect weeknight recipe https://t.co/dIkLqEQzM9",2018-10-04 22:33:04+00:00,17
15,-0.4404,0.121,0.879,0.0,The New York Times,"""When you invest in a black woman, she brings her house, her block, her church and her story,"" said Glynda C. Carr,… https://t.co/FMofIlt11i",2018-10-04 22:37:04+00:00,16
14,0.2457,0.0,0.91,0.09,The New York Times,It’s been called the most debauched outdoor party in Australia. But behind the drunken antics at the Deni Ute Muste… https://t.co/YKU6HFRhfp,2018-10-04 22:51:03+00:00,15
13,0.0,0.0,1.0,0.0,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/6hstvvVAwq,2018-10-04 23:06:06+00:00,14
12,0.0,0.0,1.0,0.0,The New York Times,RT @lauriegnyt: Americans used to vote at much higher rates - as high as 80% even in midterms. What changed? A big-picture look at our aili…,2018-10-04 23:17:04+00:00,13
11,-0.1027,0.085,0.915,0.0,The New York Times,"The FBI investigation into Kavanaugh has ended. Here’s who was questioned, and who was not. https://t.co/6joKrA4TnW",2018-10-04 23:47:05+00:00,12
10,0.34,0.0,0.897,0.103,The New York Times,It was the political equivalent of throwing an interception on the opening play of the game. A look at efforts to r… https://t.co/AuPjeKUxUl,2018-10-05 00:02:05+00:00,11
9,-0.34,0.13,0.87,0.0,The New York Times,"A New Jersey Transit train leaving Manhattan derailed entering a tunnel under the Hudson River on Thursday evening,… https://t.co/gtGkuWrOPn",2018-10-05 00:17:04+00:00,10
8,0.5859,0.0,0.847,0.153,The New York Times,RT @PamelaPaulNYT: Everything about this cover brings me joy. Just wait ‘til you read ⁦@StephenKing⁩’s review. Just wait ‘til you read Tana…,2018-10-05 00:24:05+00:00,9
7,0.0,0.0,1.0,0.0,The New York Times,New York City officials said that they had joined state regulators in examining whether President Trump and his fam… https://t.co/epk9F9w9J8,2018-10-05 00:32:03+00:00,8
6,0.2263,0.0,0.881,0.119,The New York Times,Here's a list of early voting dates for the states that allow it [corrected typo] https://t.co/8MImT5BwcA,2018-10-05 00:48:47+00:00,7
5,-0.2263,0.112,0.888,0.0,The New York Times,"RT @hkbeech: When the earthquake came to Palu, Indonesia, entire neighborhoods disappeared under a bubbling sludge. https://t.co/POrBkxJecM",2018-10-05 00:51:05+00:00,6
4,0.0,0.0,1.0,0.0,The New York Times,Evening Briefing: Here's what you need to know at the end of the day https://t.co/aTEwvgoVVx,2018-10-05 01:02:05+00:00,5
3,0.6908,0.0,0.787,0.213,The New York Times,"RT @shamblanderson: I hung out for 2 days on the set of my favorite TV show, @nbcthegoodplace, and left liking it even more. I wrote about…",2018-10-05 01:11:06+00:00,4
2,-0.5423,0.243,0.757,0.0,The New York Times,"Osaka, Japan, officially severed a sister-city partnership with San Francisco in protest of a “comfort women” monum… https://t.co/u1B7GYe3ec",2018-10-05 01:24:02+00:00,3
1,0.0,0.0,1.0,0.0,The New York Times,RT @jwpetersNYT: “This is a dry run for the impeachment.” The right tries to keep the base on edge over Kavanaugh. But does it last if he g…,2018-10-05 01:33:03+00:00,2
0,0.0772,0.095,0.796,0.109,The New York Times,Elon Musk took to Twitter less than a week after settling the Securities and Exchange Commission's lawsuit against… https://t.co/kzBve0527a,2018-10-05 01:47:02+00:00,1
